Unnamed: 0,OmegaM,sd,totalNum,accepted,numChildren
6,6,0.467984645761471,0.2028981787397371,736.0,38.0,0
5,5,0.4666334455186782,0.2048815877034724,554.0,36.0,1
0,0,0.4487964821101316,0.176694460952438,357.0,31.0,20
1,1,0.4405477258390329,0.1736442596278248,349.0,30.0,21
2,2,0.4283009993840423,0.1694042325896069,231.0,27.0,40
3,3,0.4107258638092229,0.1562627625749147,196.0,24.0,50
4,4,0.3646583604093302,0.1082120507526972,129.0,17.0,100


