,Unnamed: 0,OmegaM,sd,totalNum,accepted,numChildren
4,4,0.3912295785943175,0.1407113450572025,129.0,43.0,0
3,3,0.4078164009157647,0.1533233708817369,196.0,53.0,1
6,6,0.4581694362554093,0.2184102759985181,736.0,99.0,20
5,5,0.4761620807904251,0.2317167309272569,554.0,80.0,21
0,0,0.45938650272536,0.1980836700755862,357.0,72.0,40
1,1,0.4560502679715892,0.1974547615082413,349.0,71.0,50
2,2,0.4318633962142469,0.1726564829828996,231.0,61.0,100
