Unnamed: 0,OmegaM,sd,totalNum,accepted,numChildren
6,0.46054604506378855,0.2420294472296434,736.0,132.0,0
5,0.4781331813715576,0.25744829514693335,554.0,108.0,1
0,0.4773294520869014,0.252056502937813,357.0,101.0,20
1,0.4751401549053396,0.2523563160352906,349.0,100.0,21
2,0.4547585956901428,0.23005404249353983,231.0,84.0,40
3,0.4403990015452428,0.2277559877981606,196.0,76.0,50
4,0.41281168780453187,0.20375032638450785,129.0,58.0,100
