,MAIN_ID,Z_VALUE,RA,DEC,GALDIM_MAJAXIS,GALDIM_MINAXIS,SCRIPT_NUMBER_ID
200,ACO  4059,0.04908791,23 57 02.2,-34 45 58,14.583333,14.583333,0
202,ACO  4038,0.02999541,23 47 31.1,-28 12 10,20.0,20.0,0
203,ACO  2734,0.06142987,00 11 21.60,-28 51 16.6,20.0,20.0,0
204,ACO  2744,0.306,00 14 20.03,-30 23 17.8,7.0,7.0,0
206,ClG 2137-2353,0.315,21 40 12.8,-23 39 27,9.766666,9.766666,0
207,ClG J2235-2557,1.39,22 35 20.6,-25 57 42,1.6666666,1.6666666,0
210,ACO  2384,0.094,21 52 20.9,-19 32 53,14.333333,14.333333,0
211,ACO   133,0.057,01 02 41.5,-21 52 53,21.0,21.0,0
214,ACO  2345,0.179,21 27 09.80,-12 09 58.8,15.666667,15.666667,0
216,ACO   209,0.209,01 31 52.9,-13 36 53,7.0,7.0,0
219,ClG J2129-0741,0.587,21 29 26.0,-07 41 28,6.6666665,6.6666665,0
220,ACO  2399,0.058,21 57 19.01,-07 50 57.5,12.083333,12.083333,0
221,ACO  2428,0.084,22 16 07.01,-09 20 19.5,17.083334,17.083334,0
222,ClG J2243-0935,0.43929,22 43 21.1,-09 35 43,11.0,11.0,0
223,ACO  2645,0.2509,23 41 17.0,-09 01 11,0.21,0.118,0
224,ACO  2670,0.0761,23 54 10.51,-10 23 06.8,20.0,20.0,0
225,ACO    85,0.0556,00 41 36.21,-09 19 30.4,21.666666,21.666666,0
231,ACO   348,0.2701,02 23 59.20,-08 35 43.4,11.028,11.028,0
236,BAX 339.9121-05.7217,0.24,22 39 38.8,-05 43 13,10.0,10.0,0
238,ACO  2697,0.234,00 03 11.5,-06 05 30,12.083333,12.083333,0
241,1RXS J022508.6-062310,0.2041,02 25 12.2,-06 22 59,10.668,10.668,0
242,ACO   362,0.1852,02 31 42.20,-04 52 53.1,16.656,16.656,0
245,ACO   329,0.1394,02 14 40.900,-04 33 21.90,13.333333,13.333333,0
246,HSCS J022457-034853,0.61,02 24 57.1,-03 48 53,5.6,5.6,0
247,ACT-CL J0221.7-0346,0.432,02 21 45.8,-03 46 08,7.2,7.2,0
248,HSCS J022828-042608,0.43,02 28 27.4,-04 25 48,4.7,4.7,0
250,ACO   383,0.19,02 48 03.3915,-03 31 45.228,13.333333,13.333333,0
255,ACO  2537,0.295,23 08 22.3,-02 11 29,9.47,9.47,0
257,ZwCl 0027-0036,0.06,00 29 27.73,-00 11 49.6,13.5862,13.5862,0
261,ACO   119,0.0445,00 56 08.57,-01 12 00.8,24.166666,24.166666,0
272,ClG J2129+0005,0.2339,21 29 40.5,+00 05 47,1.0,1.0,0
274,ACO  2355,0.23058,21 35 18.70,+01 25 27.0,12.5,12.5,0
278,ACO  2631,0.2765,23 37 40.7,+00 16 35,7.73,7.73,0
281,ACO  2700,0.095,00 03 49.7,+02 03 59,16.0,16.0,0
285,SDSS CE 011.007808+00.108698,0.2185,00 44 01.36,+00 06 47.6,5.9755,5.9755,0
286,SDSS CE 010.717058+00.725393,0.2595,00 42 52.68,+00 42 59.4,4.8962,4.8962,0
293,ACO   267,0.22965,01 52 43.016,+00 59 58.90,10.18,10.18,0
300,ZwCl 0256+0002,0.19318,02 59 33.8,+00 13 45,7.0323,7.0323,0
301,BAX 044.6921+00.2122,0.245,02 58 46.1,+00 12 44,5.04,5.04,0
302,ClG J0256+0006,0.343,02 56 32.9,+00 06 12,6.21,6.21,0
323,ACO  2657,0.04,23 44 51.0,+09 08 40,20.0,20.0,0
325,ACO    68,0.24941,00 37 06.2,+09 09 33,12.19,12.19,0
336,ClG 0016+16,0.549,00 18 33.3,+16 26 36,2.5,2.5,0
338,ACO   152,0.059,01 10 09.08,+14 00 33.9,10.666667,10.666667,0
339,ACO   160,0.043,01 12 59.98,+15 30 05.3,15.0,15.0,0
346,ZwCl 0024+1652,0.395,00 26 35.6,+17 09 32,4.55,4.55,0
347,ACO  2390,0.23022,21 53 37.4,+17 41 46,2.0,2.0,0
351,ACO  2626,0.055,23 36 31.0,+21 09 36,19.666666,19.666666,0
355,ACO    98,0.1038,00 46 29.2,+20 28 06,11.666667,11.666667,0
363,BAX 006.9575+26.2739,0.3668,00 27 45.90,+26 16 25.0,0.147,0.147,0
365,ACO   115,0.193,00 55 59.5,+26 19 14,12.5,12.5,0
373,NAME Stephan's Quintet,0.0215,22 35 57.5,+33 57 36,3.2,3.2,0
374,ACO   262,0.016,01 52 50.4,+36 08 46,21.666666,21.666666,0
376,ClG 0906.5+1110,0.1767,09 09 12.7,+10 58 32,12.666667,12.666667,0
378,ACO   754,0.054,09 09 08.4,-09 39 58,16.0,16.0,0
380,ACO   781,0.293,09 20 25.4,+30 30 07,9.37,9.37,0
393,BAX 145.8779+16.6672,0.25,09 43 30.70,+16 40 02.0,2.88,2.88,0
394,BAX 145.9371+16.7467,0.17934,09 43 45.0,+16 44 13,5.0,5.0,0
414,ACO   963,0.2041,10 17 03.4,+39 02 56,12.916667,12.916667,0
416,[AWK2020] 378,0.11205785,10 13 46.91,+19 45 21.0,1.02,1.02,0
425,BAX 155.5304+38.5153,0.05429697,10 22 18.24,+38 32 39.6,12.333333,12.333333,0
428,ZwCl 1021+0426,0.2894,10 23 39.0,+04 11 14,1.0,1.0,0
432,ACO  1035,0.07739437,10 32 05.91,+40 17 25.9,12.916667,12.916667,0
433,ACO  1056,0.12467,10 38 01.8,+41 46 38,7.5,7.5,0
456,ACO  1139,0.0397569,10 58 01.63,+01 38 05.4,11.0,11.0,0
457,ClG 1054-03,0.829,10 57 00.2,-03 37 27,5.0,5.0,0
458,ClG J1054-1146,0.698,10 54 24.2,-11 46 18,2.9166667,2.9166667,0
469,ACO  1201,0.1671,11 12 54.4,+13 26 08,14.666667,14.666667,0
488,ClG J1117+1744,0.55,11 17 30.2,+17 44 44,3.52,3.52,0
490,BAX 169.3587+07.7264,0.48,11 17 26.1,+07 43 35,4.77,4.77,0
507,ACO  1300,0.306,11 32 00.7,-19 53 34,4.8,4.8,0
527,ACO  1413,0.1412,11 55 12.87,+23 23 46.9,14.583333,14.583333,0
528,MCS J1149.5+2223,0.545,11 49 35.8,+22 23 55,7.9166665,7.9166665,0
537,NAME NGC 4104 Group,0.02817,12 06 19.75,+28 07 08.3,16.666666,16.666666,0
551,ClG 1208+39,0.33955,12 11 16.0,+39 11 41,5.4166665,5.4166665,0
558,ZwCl 1215+0400,0.0772,12 17 43.62,+03 38 51.5,18.333334,18.333334,0
562,ClG J1216-1201,0.794,12 16 45.10,-12 01 17.3,4.5833335,4.5833335,0
579,BAX 190.3879+32.8397,0.39619,12 41 33.1,+32 50 23,6.41,6.41,0
581,ACO  1589,0.0709,12 41 08.09,+18 33 18.5,19.583334,19.583334,0
586,M  60,0.00339,12 43 39.9680,+11 33 09.696,7.94,6.61,0
587,ZwCl 1231+1007,0.23208,12 34 21.9,+09 47 02,4.0,4.0,0
590,NGC  4636,0.00307,12 42 49.8333,+02 41 15.951,7.76,5.89,0
598,2XMM J125602.2+255636,0.232,12 56 04.9,+25 56 52,6.99,6.99,0
605,ACO  1612,0.18177,12 47 43.2,-02 47 32,4.3,4.3,0
608,ClG J1252-2927,1.24,12 52 54.4,-29 27 17,2.9166667,2.9166667,0
609,ACO  3526,0.011,12 48 51.8,-41 18 21,16.666666,16.666666,0
613,ACO  1656,0.0234,12 59 44.40,+27 54 44.9,30.0,30.0,0
614,ZwCl 1303+2647,0.30812,13 05 58.0,+26 30 53,0.233,0.117,0
617,ACO  1650,0.0843,12 58 42.0,-01 45 45,17.666666,17.666666,0
620,ZwCl 1305+2941,0.24,13 07 49.25,+29 25 48.3,7.33,7.33,0
621,MCXC J1311.7+2201,0.17153,13 11 46.20,+22 01 37.3,7.9166665,7.9166665,0
625,ACO  1689,0.1842,13 11 29.5,-01 20 28,4.0,4.0,0
627,BAX 199.3086-25.5133,0.247,13 14 25.4,-25 15 44,0.187,0.116,0
633,ClG 1322+3027,0.753,13 24 48.2,+30 11 34,2.9166667,2.9166667,0
636,NAME NGC 5171 Group,0.024268,13 29 05.10,+11 45 04.8,16.666666,16.666666,0
639,ZwCl 1316-0044,0.08321,13 19 16.58,-00 55 01.2,4.8333335,4.8333335,0
642,ACO  3558,0.048,13 27 54.8,-31 29 32,20.416666,20.416666,0
643,ACO  1763,0.2312,13 35 20.1,+41 00 04,11.16,11.16,0
652,ACO  1750,0.0856,13 30 50.44,-01 51 27.1,14.583333,14.583333,0
653,ACO  3562,0.049,13 33 31.8,-31 40 23,5.0,5.0,0
659,ACO  1795,0.063,13 48 50.48,+26 35 07.4,23.333334,23.333334,0
660,ACO  1775,0.075,13 41 50.60,+26 21 10.6,21.666666,21.666666,0
666,ClG J1347-1145,0.45,13 47 30.5,-11 45 07,2.0,2.0,0
668,HCG  68,0.008,13 53 40.9,+40 19 07,9.2,9.2,0
675,ACO  1835,0.2506,14 01 02.07,+02 52 43.2,2.0,2.0,0
677,ClG J1354-0221,0.54786,13 54 16.9,-02 21 47,4.59,4.59,0
684,ACO  1882,0.13773,14 14 24.02,-00 22 39.9,7.9166665,7.9166665,0
686,ACO  1914,0.166,14 26 03.32,+37 49 58.7,7.5,7.5,0
688,ClG J1415+3611,1.027,14 15 11.1,+36 12 03,2.9166667,2.9166667,0
691,BAX 214.1083+23.2564,0.13814,14 16 27.70,+23 15 25.9,13.333333,13.333333,0
692,ACO  1890,0.05779099,14 17 41.62,+08 13 06.4,0.512,0.389,0
693,ACT-CL J1419.5+0647,0.11,14 19 36.200,+06 47 36.80,9.166667,9.166667,0
723,ZwCl 1455+2232,0.25762,14 57 15.2,+22 20 30,2.0,2.0,0
725,ACO  1991,0.05842299,14 54 41.53,+18 38 08.4,16.666666,16.666666,0
726,ACO  1983,0.04487038,14 52 59.33,+16 46 11.0,16.25,16.25,0
729,ACO  2163,0.201,16 15 46.1,-06 08 50,11.0,11.0,0
730,ClG J1504-0248,0.2168,15 04 07.4,-02 48 15,1.0,1.0,0
733,ACO  2051,0.1182,15 16 47.15,-01 00 32.8,21.25,21.25,0
736,ACO  2050,0.1191,15 16 18.7,+00 05 31,15.0,15.0,0
746,BAX 233.1222+04.6817,0.03827569,15 32 32.02,+04 40 51.6,16.25,16.25,0
751,ACO  2052,0.03491567,15 16 41.64,+07 01 45.5,20.416666,20.416666,0
752,ACT-CL J1521.8+0742,0.04419582,15 21 55.14,+07 41 27.2,21.0,21.0,0
753,ACO  2063,0.034,15 23 01.8,+08 38 22,19.666666,19.666666,0
767,ACO  2254,0.176,17 17 45.90,+19 40 22.8,15.333333,15.333333,0
776,AWM 4,0.0321142,16 04 52.01,+23 56 26.9,18.666666,18.666666,0
779,ClG J1720+2638,0.1604,17 20 09.6,+26 37 35,1.5,1.5,0
781,2MASX J17201001+2637317,0.16014,17 20 10.040,+26 37 32.06,0.343,0.261,0
786,ACO  2142,0.0903,15 58 14.38,+27 12 57.8,15.833333,15.833333,0
793,ACO  2175,0.096,16 20 30.70,+29 53 31.2,15.833333,15.833333,0
798,ACO  2261,0.2242,17 22 26.9,+32 07 58,13.76,13.76,0
800,ACO  2069,0.1139,15 24 02.92,+29 53 20.3,5.0,5.0,0
802,ACO  2065,0.0731,15 22 29.3,+27 42 22,20.416666,20.416666,0
809,ClG J1720+3536,0.39,17 20 16.8,+35 36 27,7.5,7.5,0
812,ACO  2061,0.0783,15 21 19.90,+30 37 13.0,7.5,7.5,0
817,ACO  2034,0.1132,15 10 12.96,+33 29 53.2,12.083333,12.083333,0
819,ACO  2111,0.2291,15 39 40.9,+34 25 04,14.333333,14.333333,0
827,ACO  2199,0.0309,16 28 43.31,+39 34 07.6,21.666666,21.666666,0
828,BAX 250.6621+39.5981,0.35338,16 42 38.9,+39 35 53,4.1666665,4.1666665,0
836,ACO  3391,0.055,06 26 15.4,-53 40 52,20.0,20.0,0
837,ACO  3395,0.051,06 27 31.1,-54 23 58,18.466667,18.466667,0
838,ACO S  520,0.295,05 16 37.40,-54 30 01.5,14.0,14.0,0
840,ClG 0657-56,0.296,06 58 29.6,-55 56 39,8.0,8.0,0
843,ACO  3128,0.063,03 29 50.6,-52 34 48,14.0,14.0,0
844,ACO  3158,0.059,03 42 39.6,-53 37 50,21.666666,21.666666,0
845,ACO  3017,0.2195,02 25 53.4,-41 54 58,12.166667,12.166667,0
847,ACO  3266,0.0577,04 31 11.9,-61 24 23,25.833334,25.833334,0
848,ACO S  295,0.3,02 45 35.80,-53 02 16.8,10.0,10.0,0
853,ACO  2877,0.024,01 09 49.3,-45 54 02,21.666666,21.666666,0
854,ACO  4067,0.1,23 58 49.9,-60 37 25,21.666666,21.666666,0
858,ACO S 1063,0.351,22 48 45.4,-44 31 42,12.5,12.5,0
859,ACT-CL J2011.4-5724,0.2786,20 11 26.8,-57 25 09,9.333333,9.333333,0
860,ACO  3667,0.0552,20 12 33.68,-56 50 26.3,20.0,20.0,0
863,CXOMP J010610.3+005126,0.2566,01 06 10.3,+00 51 26,5.6745,5.6745,0
864,XMMXCS J233227.5+195822.1,0.311,23 32 27.40,+19 58 04.8,5.48,5.48,0
865,CDGS 9,0.223,00 33 46.32,-43 17 31.8,7.0833335,7.0833335,0
866,ATELAIS J003427.38-431859.0,0.393,00 34 27.42,-43 18 59.4,7.5,7.5,0
869,ClG J0146-0929,0.447,01 46 56.00,-09 29 52.4,5.866667,5.866667,0
871,ACT-CL J0257.1-2325,0.5049,02 57 09.151,-23 26 05.83,7.9166665,7.9166665,0
873,CDGS 54,0.83,10 02 01.47,+02 13 29.6,3.3333333,3.3333333,0
875,XCLASS 1880,0.2213,10 00 22.14,+02 23 34.7,1.6666666,1.6666666,0
876,XCLASS 1879,0.347,10 00 13.925,+02 22 48.00,4.5833335,4.5833335,0
883,XCLASS 169,0.32,02 22 05.6,-04 32 47,5.3,5.3,0
884,HSCS J022358-043505,0.49,02 23 57.4,-04 35 17,4.8,4.8,0
886,ACO  2717,0.049,00 03 12.9,-35 56 13,18.833334,18.833334,0
887,NAME Hydra I Cluster,0.014,10 36 36.0,-27 31 04,20.416666,20.416666,0
888,ACO  3490,0.069,11 45 19.6,-34 25 59,18.666666,18.666666,0
889,ACO  1644,0.047,12 57 11.6,-17 24 34,23.333334,23.333334,0
893,CDGS 3,0.1172,10 01 42.66,+02 25 49.9,6.25,6.25,0
898,CDGS 15,0.35,10 00 43.71,+01 46 11.4,2.0833333,2.0833333,0
899,XCLASS 2163,0.37,09 59 51.54,+01 40 46.5,4.1,4.1,0
903,XCLASS 2162,0.12,09 59 24.91,+01 46 09.7,6.6666665,6.6666665,0
905,NAME ACO 1035B,0.071,10 32 19.36,+40 10 10.4,11.166667,11.166667,0
908,RzCS 031,0.33,02 20 45.46,-03 25 59.7,4.74,4.74,0
911,NSC J151001+025934,0.09243,15 09 57.88,+02 59 28.7,1.28,1.28,0
944,ClG J1312+3900,0.40417,13 12 19.4,+39 00 58,0.44,0.44,0
947,ZwCl 2353+0535,0.279,23 55 37.000,+05 51 29.00,3.75,3.75,0
950,ACT-CL J1200.8-0328,0.39525,12 00 49.5,-03 27 30,5.8333335,5.8333335,0
951,ClG J1213+0253,0.4096,12 13 34.4,+02 53 57,5.4166665,5.4166665,0
953,BAX 197.1358+53.7054,0.33,13 08 32.9,+53 42 15,4.47,4.47,0
957,BAX 214.6296+25.1806,0.29,14 18 31.2,+25 10 47,6.48,6.48,0
966,RX J1257.2+4738,0.866,12 57 12.20,+47 38 06.5,2.5,2.5,0
967,NAME XMMU J1229.4+0151,0.976,12 29 28.8,+01 51 34,3.25,3.25,0
984,SpARCS J163437+402149,1.1798,16 34 35.0,+40 21 51,2.6666667,2.6666667,0
1027,ClG J1226+3332,0.892,12 26 57.7,+33 32 50,5.8333335,5.8333335,0
1032,ACT-CL J1431.8+1331,0.15993,14 31 50.09,+13 32 04.9,9.166667,9.166667,0
1037,2XMM J045400.6-030832,0.261,04 54 00.6,-03 08 32,4.5833335,4.5833335,0
1038,ZwCl 0857+2107,0.23571,09 00 36.90,+20 53 40.3,8.34,8.34,0
1039,ACT-CL J2327.4-0204,0.706,23 27 27.60,-02 04 37.4,4.1666665,4.1666665,0
1042,CDGS 24,0.4379,21 50 41.25,-05 41 05.5,3.3333333,3.3333333,0
1054,2XMMi J120800.8+433917,0.27,12 08 00.76,+43 39 19.3,6.37,6.37,0
1061,ACT-CL J0511.6-5154,0.645,05 11 41.31,-51 54 20.8,4.6666665,4.6666665,0
1065,ACT-CL J0559.7-5249,0.609,05 59 43.20,-52 49 27.1,6.0,6.0,0
1067,ACT-CL J2337.4-5942,0.775,23 37 24.2,-59 42 17,5.0,5.0,0
1074,SDSSCGA 31,0.14389,09 55 07.7,+09 35 20,0.58,0.58,0
1075,SDSSCGB 2472,0.1726,15 10 37.6,+06 16 26,1.044,1.044,0
1078,HSCS J021735-051330,0.65,02 17 34.49,-05 13 18.5,3.73,3.73,0
1079,HSCS J021832-050059,0.8731,02 18 31.67,-05 00 59.5,2.5,2.5,0
1087,ZwCl 0008+5215,0.104,00 11 37.197,+52 32 31.68,12.0,12.0,0
1090,ACT-CL J0234.7-5831,0.415,02 34 43.4,-58 31 25,9.166667,9.166667,0
1094,ACT-CL J2344.7-4243,0.596,23 44 43.9,-42 43 11,7.0833335,7.0833335,0
1150,PLCKESZ G287.0+32.9,0.383,11 50 49.20,-28 04 36.5,4.0,4.0,0
1152,PLCKESZ G214.6+37.0,0.4506,09 08 49,+14 38.5,5.4166665,5.4166665,0
1153,PLCKESZ G271.2-31.0,0.376,05 49 16,-62 05.2,8.333333,8.333333,0
1160,ACT-CL J0102-4915,0.87,01 02 52.50,-49 14 58.0,1.0,1.0,0
1166,ACT-CL J0438.2-5419,0.4224,04 38 17.70,-54 19 20.7,10.0,10.0,0
1172,ClG J1420+3955,0.607,14 20 40.38,+39 55 10.6,6.3333335,6.3333335,0
1178,ACT-CL J0017.6-0052,0.2065,00 17 37.40,-00 52 35.4,7.1527,7.1527,0
1179,RX J0920.3+3706,0.23481,09 20 18.90,+37 06 17.7,7.16,7.16,0
1180,ACT-CL J2030.8-5638,0.394,20 30 49.6,-56 38 07,6.3333335,6.3333335,0
1181,SPT-CL J2328-5533,0.773,23 28 42.7,-55 33 58,2.9166667,2.9166667,0
1182,SPT-CL J2328-5550,0.79,23 28 10.8,-55 50 24,2.6,2.6,0
1184,BAX 214.9883+06.5739,0.564,14 19 53.830,+06 34 03.11,1.5,1.5,0
1189,ACT-CL J1238.6+0928,0.2299,12 38 41.07,+09 28 30.2,8.66,8.66,0
1192,XCLASS 78,0.42,00 42 53.75,-09 34 23.2,2.5,2.5,0
1193,ACT-CL J0043.8+0046,0.4754,00 43 50.76,+00 47 33.5,3.613,3.613,0
1194,XCLASS 1635,0.4282,07 36 05.93,+43 39 06.4,5.0,5.0,0
1196,NSC J094535+094825,0.2114,09 45 30.92,+09 46 37.0,6.28,6.28,0
1199,XCLASS 2051,0.4086,11 58 24.73,+44 05 32.2,3.3333333,3.3333333,0
1200,2XMM J130534.9+175650,0.5445,13 05 34.98,+17 56 50.5,3.1,3.1,0
1202,NSCS J135400+335023,0.47,13 53 58.96,+33 49 58.7,1.73,1.73,0
1203,NSCS J141531+282421,0.2239,14 15 34.44,+28 23 42.2,9.0,9.0,0
1204,NSCS J143106+421431,0.4261,14 31 03.17,+42 14 33.9,2.9166667,2.9166667,0
1206,NSCS J002310+001137,0.2734,00 23 14.39,+00 11 58.7,4.3062,4.3062,0
1207,XCLASS 1813,0.296,10 56 55.51,+06 58 40.5,5.69,5.69,0
1210,XCLASS 2214,0.3008,08 24 12.95,+30 04 37.9,3.26,3.26,0
1212,XCLASS 2209,0.3959,09 59 04.47,+13 05 24.4,5.4166665,5.4166665,0
1213,XCLASS 2135,0.2989,10 44 20.1,+06 45 08,4.6666665,4.6666665,0
1215,XCLASS 1537,0.2494,12 31 50.49,+12 00 05.3,2.0833333,2.0833333,0
1216,ACT-CL J0205.7-5829,1.322,02 05 46.5,-58 29 08,4.3333335,4.3333335,0
1217,ZwCl 1856+6616,0.37,18 56 38.4,+66 23 10,3.3,3.3,0
1225,SDSS-C4-DR3 1372,0.08,13 27 12.15,+01 18 53.9,10.833333,10.833333,0
1244,ACT-CL J2040.9-4452,1.478,20 40 59.23,-44 51 35.6,3.6666667,3.6666667,0
1245,XMMU J083026.2+524133,0.99,08 30 25.900,+52 41 28.40,3.75,3.75,0
1246,[RRB2014] RM J234059.8+000453.7,0.18481,23 40 59.7721,+00 04 53.750,0.516,0.516,0
1247,PCG J1033+0902,0.2259,10 33 08.01,+09 02 10.3,0.4236,0.4236,0
1248,PCG J2319-0227,0.10911,23 19 10.28,-02 27 09.9,1.186,1.186,0
1272,HSCS J221422+004706,0.3202,22 14 21.344,+00 47 29.99,4.2583,4.2583,0
1273,HSCS J221211-000821,0.3647,22 12 10.924,-00 08 38.81,4.1187,4.1187,0
1360,SWXCS J092729+3010.8,0.3434,09 27 29.76,+30 10 48.0,5.4166665,5.4166665,0
1366,XCLASS 2118,0.1454,21 51 24.91,-05 27 10.7,8.333333,8.333333,0
1367,ClG 1821+64,0.299,18 21 56.7276,+64 20 55.841,4.0,4.0,0
1368,EXSS 1201.3+0205,0.23675,12 03 52.800,+01 47 06.50,5.71,5.71,0
1370,XCLASS 530,0.41,04 55 06.300,-53 23 43.80,6.25,6.25,0
1377,PSZSPT J2017-6258,0.535,20 17 55.9,-62 58 32,6.0,6.0,0
1388,HSCS J022549-055346,0.232,02 25 48,-05 53.7,5.0,5.0,0
1389,ACT-CL J0215.4-0440,0.348,02 15 29,-04 40.9,4.1666665,4.1666665,0
1390,HSCS J022156-054532,0.259,02 21 56,-05 45.4,3.75,3.75,0
1391,PSZRX G167.73-64.15,0.44,02 03 41.600,-07 47 05.70,6.86,6.86,0
1392,XCLASS 514,0.91,02 50 06.400,-31 04 00.80,2.9166667,2.9166667,0
1395,NSCS J132438+053216,0.22714,13 24 34.000,+05 34 27.10,9.11,9.11,0
1396,XMMXCS J142551.8+380246.3,0.487,14 25 51.800,+38 02 46.30,2.87,2.87,0
1397,XMMXCS J144016.2+034124.4,0.29,14 40 16.200,+03 41 24.40,5.9,5.9,0
1398,XCLASS 1853,0.298,23 21 24.600,+19 45 14.80,5.94,5.94,0
1482,ACT-CL J1426.3-0126,0.45762,14 26 24.2,-01 26 57,4.3333335,4.3333335,0
1767,ACT-CL J1227.6+0744,0.47636,12 27 43.2,+07 44 06,5.8333335,5.8333335,0
1814,XCLASS 2356,0.51,12 01 07.8,+29 53 35,3.3333333,3.3333333,0
1964,ClG 1231.3+1542,0.234,12 33 55.3,+15 25 58,9.666667,9.666667,0
1982,SHELS J0921.4+2958,0.43183,09 21 28.1,+29 58 20,2.6666667,2.6666667,0
2372,SWXCS J095513+1812.3,0.41592,09 55 13.9,+18 12 32,1.25,1.25,0
2846,XCLASS 1185,0.4914,12 45 18.6,+56 46 18,2.9166667,2.9166667,0
3116,NSC J104547+041947,0.15392,10 45 48.4,+04 20 32,9.666667,9.666667,0
3312,XCLASS 1886,0.942,10 00 05.72,+02 12 11.5,1.25,1.25,0
3316,XCLASS 1888,0.344,09 58 23.94,+02 49 11.7,3.3333333,3.3333333,0
3361,ACT-CL J2211.7-0349,0.396,22 11 43.4,-03 50 07,9.333333,9.333333,0
3363,MCS J1752.0+4440,0.366,17 52 02.2,+44 40 38,3.3,3.3,0
3368,eMACS J1508.1+5755,0.5392,15 08 21.9,+57 55 15,9.0,9.0,0
3373,ZwCl 0017+0320,0.26908,00 19 38.6,+03 35 57,9.666667,9.666667,0
3385,ACT-CL J0137.4-0827,0.566,01 37 24.9,-08 27 22,9.0,9.0,0
3410,XMMXCS J042226.3-514029.7,0.59,04 22 26.36,-51 40 29.7,3.3333333,3.3333333,0
