,MAIN_ID,Z_VALUE,RA,DEC,GALDIM_MAJAXIS,GALDIM_MINAXIS,SCRIPT_NUMBER_ID
2,K79  4,0.0177,01 16 13.81,+46 44 22.8,1.6,1.6,0
4,NAME Sausage Cluster,0.1921,22 42 53.0,+53 01 05,9.0,9.0,0
5,ACO  2319,0.0559,19 20 45.3,+43 57 43,16.0,16.0,0
10,ClG 1821+6827,0.817,18 21 33,+68 27.9,5.0,5.0,0
23,ACO  2256,0.0583,17 03 09.4,+78 39 36,12.0,12.0,0
32,ClG J0647+7015,0.584,06 47 50.0,+70 14 55,8.333333,8.333333,0
36,1RXS J171438.2+623212,0.18,17 14 37.900,+62 33 22.20,2.5,2.5,0
38,ACO  2255,0.0801,17 12 50.04,+64 03 10.6,10.0,10.0,0
41,ACO  2218,0.1709,16 35 54.0,+66 13 00,2.0,2.0,0
46,HCG  78,0.0326,15 48.5,+68 12,3.5,3.5,0
48,ClG J0947+7623,0.354,09 47 12.9,+76 23 13,1.0,1.0,0
49,ACO   576,0.039,07 21 24.1,+55 44 20,21.0,21.0,0
59,ACO   665,0.1816,08 30 45.2,+65 52 55,10.0,10.0,0
60,PLCKESZ G157.43+30.33,0.407,07 48 45.6,+59 41 41,12.333333,12.333333,0
62,ACO  2219,0.2257,16 40 22.1,+46 42 20,8.0,8.0,0
79,SDSSCGA 2251,0.13893,14 26 46.81,+64 59 33.1,2.1,2.1,0
81,ACO  1674,0.22124,13 03 56.5,+67 31 04,6.6666665,6.6666665,0
87,SDSSCGA 553,0.1875,09 28 35.07,+63 47 32.0,1.3,1.3,0
91,SDSSCGA 918,0.0437,08 20 26.6,+56 45 27,2.26,2.26,0
115,ACO  1302,0.1152,11 33 12.02,+66 22 26.9,12.916667,12.916667,0
116,ZwCl 1120+6728,0.05522652,11 22 16.49,+67 14 17.8,8.0,8.0,0
128,ClG 1603+4313,0.897,16 04 23.7,+43 04 52,2.5,2.5,0
155,ClG J0910+5422,1.103,09 10 44.9,+54 22 09,2.0833333,2.0833333,0
186,SDSSCGB 63265,0.44,09 03 46.4,+50 24 59,0.56,0.56,0
204,ACO  1351,0.322,11 42 24.7795,+58 32 05.558,3.0,3.0,0
209,ClG J1053+5735,1.134,10 53 43.4,+57 35 21,4.1666665,4.1666665,0
215,MCXC J1011.3+5333,0.3896,10 11 19.3,+53 34 30,4.1666665,4.1666665,0
222,ACO   773,0.2173,09 17 51.3,+51 43 20,6.0,6.0,0
225,SDSSCGA 46,0.1465,08 28 06.7,+44 45 48,0.76,0.76,0
233,ACO  1907,0.07131,14 21 39.91,+49 30 38.4,0.87,0.776,0
240,ClG J1159+5531,0.08,11 59 53.02,+55 32 22.8,5.8333335,5.8333335,0
249,BAX 163.4480+54.8499,0.072,10 53 50.83,+54 49 55.1,7.5,7.5,0
254,SDSSCGA 857,0.2,10 23 00.04,+52 01 00.8,1.4,1.4,0
273,HCG  35,0.0542,08 45 20.71,+44 32 23.1,2.2,2.2,0
274,MCXC J0844.9+4258,0.05465451,08 44 44.12,+43 01 07.6,8.333333,8.333333,0
276,ClG J0848+4456,0.57,08 48 46.9,+44 56 22,3.01,3.01,0
277,ClG J0849+4452,1.2642,08 48 58.8,+44 51 53,2.0833333,2.0833333,0
281,ZwCl 1459+4240,0.292,15 01 23.0,+42 20 47,0.14,0.14,0
287,MCXC J1332.7+5032,0.2761,13 32 44.8,+50 32 24,9.73,9.73,0
302,BAX 153.4100+49.5519,0.133,10 13 36.9,+49 33 05,7.0833335,7.0833335,0
306,ACO   851,0.409,09 43 01.2,+46 59 54,7.0833335,7.0833335,0
330,ACO  1314,0.03282856,11 34 53.0,+49 05 18,16.666666,16.666666,0
363,ClG J0956+4107,0.59,09 56 03.4,+41 07 14,3.17,3.17,0
372,ACO   412,0.10916,03 06 17.6,-00 08 28,9.2588,9.2588,0
385,BAX 055.3242+15.3961,0.029,03 41 16.9,+15 24 27,19.666666,19.666666,0
386,ZwCl 0335+0956,0.035,03 38 35.3,+09 57 54,3.5,3.5,0
389,ACO  3151,0.068,03 40 27.2,-28 40 20,12.083333,12.083333,0
395,ACO S  373,0.005,03 38 29.4,-35 27 08,11.666667,11.666667,0
401,ClG J0429-0253,0.399,04 29 36.0,-02 53 09,7.8333335,7.8333335,0
402,ClG 0422-09,0.039,04 25 51.02,-08 33 38.5,18.666666,18.666666,0
409,ACO   496,0.033,04 33 38.8,-13 15 59,22.5,22.5,0
411,ACO   500,0.067,04 38 55.0,-22 05 55,16.666666,16.666666,0
418,ACO   520,0.203,04 54 10.1,+02 55 38,5.5,5.5,0
419,ClG 0451-03,0.54,04 54 10.9,-03 01 07,7.1666665,7.1666665,0
420,ACO   521,0.247,04 54 08.6,-10 14 39,5.0,5.0,0
429,ACO   545,0.154,05 32 24.4152,-11 32 35.080,5.6,5.6,0
434,ACO  3365,0.093,05 48 12,-21 56.1,5.5,5.5,0
436,ACO  3364,0.148,05 47 38.1,-31 52 15,16.666666,16.666666,0
439,ACO   550,0.099,05 52 51.3,-21 03 27,14.166667,14.166667,0
444,ClG J0603.3+4214,0.228,06 03.3,+42 14,9.0,9.0,0
447,ACO  3378,0.141,06 05 53.7,-35 18 06,13.333333,13.333333,0
448,ACO  3376,0.046,06 01 25.000,-39 59 51.00,16.0,16.0,0
449,ClG J0717+3745,0.549,07 17 36.50,+37 45 23.0,4.0,4.0,0
453,ACO   586,0.1702,07 32 20.3,+31 37 58,16.333334,16.333334,0
455,ClG J0744+3927,0.698,07 44 52.5,+39 27 30,7.5,7.5,0
456,ZwCl 0743+3110,0.058067105,07 46 45.37,+31 00 11.6,15.0,15.0,0
458,ZwCl 0748+1744,0.188,07 51 23.8,+17 31 15,8.75,8.75,0
461,ACO   611,0.28726,08 00 58.7,+36 02 49,7.0833335,7.0833335,0
462,ACO   602,0.060878935,07 53 23.51,+29 20 20.3,1.84,1.84,0
474,NAME NGC 2563 Group,0.015646925,08 20 39.46,+21 04 45.6,17.916666,17.916666,0
482,ACO   653,0.087,08 21 50.6,+01 11 49,15.0,15.0,0
494,ACO   697,0.2812,08 42 57.6,+36 21 45,2.5,2.5,0
496,XCLASS 686,0.4643,08 47 01.8,+34 51 17,2.0833333,2.0833333,0
508,SDSSCGA 355,0.0711,08 40 04.29,+25 00 28.9,1.78,1.78,0
518,ACT-CL J0852.2-0101,0.4587,08 52 16.6,-01 01 35,8.244,8.244,0
520,ACO S 1101,0.056,23 13 58.5,-42 43 39,19.166666,19.166666,0
525,ACO  3888,0.155,22 34 23.0,-37 43 29,15.333333,15.333333,0
544,ACO  4010,0.096,23 31 10.3,-36 30 26,14.666667,14.666667,0
549,ACO S  301,0.023,02 49 33.72,-31 11 23.2,17.5,17.5,0
551,ACO  3814,0.12,21 49 07.24,-30 42 06.4,15.0,15.0,0
553,HCG  90,0.0088,22 02 06.3,-31 55 48,7.4,7.4,0
556,ACO  4059,0.04908791,23 57 02.2,-34 45 58,14.583333,14.583333,0
564,ACT-CL J2102.1-2431,0.19,21 02 10.1,-24 31 57,10.0,10.0,0
585,ACO  4038,0.02999541,23 47 31.1,-28 12 10,20.0,20.0,0
591,ACO  2734,0.06142987,00 11 21.60,-28 51 16.6,20.0,20.0,0
592,ACO  2744,0.306,00 14 20.03,-30 23 17.8,7.0,7.0,0
594,ACO  2811,0.107605,00 42 08.82,-28 32 08.8,16.5,16.5,0
604,ClG 2137-2353,0.315,21 40 12.8,-23 39 27,9.766666,9.766666,0
606,ClG J2235-2557,1.39,22 35 20.6,-25 57 42,1.6666666,1.6666666,0
611,ACO  2667,0.233,23 51 39.37,-26 05 02.7,12.166667,12.166667,0
612,ACO    22,0.143,00 20 41.4,-25 42 39,14.333333,14.333333,0
618,ACO  2384,0.094,21 52 20.9,-19 32 53,14.333333,14.333333,0
628,ACO  2690,0.085,00 00 13.75,-25 11 11.5,12.916667,12.916667,0
631,ACO   133,0.057,01 02 41.5,-21 52 53,21.0,21.0,0
645,ACO  2485,0.2472,22 48 33,-16 07.1,0.227,0.172,0
652,ACO    13,0.095,00 13 38.5,-19 30 19,18.333334,18.333334,0
658,ACO  2345,0.179,21 27 09.80,-12 09 58.8,15.666667,15.666667,0
659,ACT-CL J2214.9-1359,0.503,22 14 57.3,-14 00 12,8.75,8.75,0
663,ACO   209,0.209,01 31 52.9,-13 36 53,7.0,7.0,0
668,ACO   223,0.208,01 37 55.9,-12 49 11,8.75,8.75,0
669,HCG  16,0.0132,02 09 40.82,-10 11 02.0,17.94,17.94,0
671,ClG J2129-0741,0.587,21 29 26.0,-07 41 28,6.6666665,6.6666665,0
672,ACO  2399,0.058,21 57 19.01,-07 50 57.5,12.083333,12.083333,0
673,ACO  2428,0.084,22 16 07.01,-09 20 19.5,17.083334,17.083334,0
675,ClG J2243-0935,0.43929,22 43 21.1,-09 35 43,11.0,11.0,0
678,ACO  2645,0.2509,23 41 17.0,-09 01 11,0.21,0.118,0
680,ACO  2670,0.0761,23 54 10.51,-10 23 06.8,20.0,20.0,0
681,SDSSCGA 3,0.0782,23 54 13.5,-10 23 17,0.32,0.32,0
683,ACO    85,0.0556,00 41 36.21,-09 19 30.4,21.666666,21.666666,0
690,ACO   348,0.2701,02 23 59.20,-08 35 43.4,11.028,11.028,0
698,BAX 339.9121-05.7217,0.24,22 39 38.8,-05 43 13,10.0,10.0,0
701,ACO  2697,0.234,00 03 11.5,-06 05 30,12.083333,12.083333,0
704,1RXS J022508.6-062310,0.2041,02 25 12.2,-06 22 59,10.668,10.668,0
705,ACO   362,0.1852,02 31 42.20,-04 52 53.1,16.656,16.656,0
706,XLSSC 017,0.38253,02 26 27.4,-04 59 55,4.2,4.2,0
710,HCG  12,0.0485,01 27 33.7,-04 40 14,2.6,2.6,0
711,ACO   329,0.1394,02 14 40.900,-04 33 21.90,13.333333,13.333333,0
712,HSCS J022457-034853,0.61,02 24 57.1,-03 48 53,5.6,5.6,0
713,ACT-CL J0221.7-0346,0.432,02 21 45.8,-03 46 08,7.2,7.2,0
715,RzCS 768,0.33,02 27 22.39,-03 21 39.2,4.26,4.26,0
716,HSCS J022828-042608,0.43,02 28 27.4,-04 25 48,4.7,4.7,0
718,ACO   383,0.19,02 48 03.3915,-03 31 45.228,13.333333,13.333333,0
724,ACO  2537,0.295,23 08 22.3,-02 11 29,9.47,9.47,0
725,HCG  97,0.0215,23 47 24.0,-02 19 08,5.23,5.23,0
728,ZwCl 0027-0036,0.06,00 29 27.73,-00 11 49.6,13.5862,13.5862,0
736,ACO   119,0.0445,00 56 08.57,-01 12 00.8,24.166666,24.166666,0
737,SDSSCGB 471,0.192,01 01 13.0,-00 34 36,0.26,0.26,0
741,SDSSCGA 315,0.08071,01 14 27.8,-00 51 27,1.08,1.08,0
744,SDSSCGB 45856,0.01603,01 34 00.4,-01 04 02,0.78,0.78,0
746,ACO   291,0.196,02 01 42.9,-02 11 48,11.666667,11.666667,0
749,XCLASS 440,0.834,01 52 39.590,-13 58 27.48,2.9166667,2.9166667,0
751,SDSSCGA 122,0.173,02 10 54.1,-01 09 25,0.58,0.58,0
752,SDSSCGA 207,0.141,02 14 11.7,-00 11 31,0.68,0.68,0
759,ClG J2129+0005,0.2339,21 29 40.5,+00 05 47,1.0,1.0,0
761,ACO  2355,0.23058,21 35 18.70,+01 25 27.0,12.5,12.5,0
762,ClG J2137+0026,0.05092524,21 37 06.9,+00 26 48,7.0,7.0,0
768,ACO  2631,0.2765,23 37 40.7,+00 16 35,7.73,7.73,0
773,ACO  2700,0.095,00 03 49.7,+02 03 59,16.0,16.0,0
778,SDSS CE 011.007808+00.108698,0.2185,00 44 01.36,+00 06 47.6,5.9755,5.9755,0
779,SDSS CE 010.717058+00.725393,0.2595,00 42 52.68,+00 42 59.4,4.8962,4.8962,0
780,SDSS CE 010.888028+01.015296,0.2,00 43 34.07,+01 01 06.4,6.1075,6.1075,0
784,SDSSCGA 1113,0.11894,01 01 33.2,+00 32 22,1.6,1.6,0
791,BAX 021.3807+01.7591,0.021,01 25 31.3,+01 45 33,13.533334,13.533334,0
796,ACO   267,0.22965,01 52 43.016,+00 59 58.90,10.18,10.18,0
799,HCG  15,0.0228,02 07 39.0,+02 08 18,7.6,7.6,0
800,SDSSCGA 1476,0.173,02 05 55.3,+00 01 12,1.72,1.72,0
807,ZwCl 0256+0002,0.19318,02 59 33.8,+00 13 45,7.0323,7.0323,0
808,BAX 044.6921+00.2122,0.245,02 58 46.1,+00 12 44,5.04,5.04,0
809,ClG J0256+0006,0.343,02 56 32.9,+00 06 12,6.21,6.21,0
846,ACO   400,0.023,02 57 37.4,+06 00 45,20.0,20.0,0
851,HCG  96,0.0291,23 28 00.40,+08 46 36.9,2.3,2.3,0
852,ACO  2657,0.04,23 44 51.0,+09 08 40,20.0,20.0,0
854,ACO    68,0.24941,00 37 06.2,+09 09 33,12.19,12.19,0
861,WBL 677,0.02643,22 03.4,+12 39,2.66,2.66,0
872,ClG 0016+16,0.549,00 18 33.3,+16 26 36,2.5,2.5,0
874,ACO   152,0.059,01 10 09.08,+14 00 33.9,10.666667,10.666667,0
875,ACO   160,0.043,01 12 59.98,+15 30 05.3,15.0,15.0,0
882,BAX 349.3187+18.7197,0.0417,23 17 11.184,+18 41 48.87,2.8,2.8,0
884,NGC    57,0.018113,00 15 30.873,+17 19 42.22,1.393,1.115,0
885,ZwCl 0024+1652,0.395,00 26 35.6,+17 09 32,4.55,4.55,0
887,ACO   399,0.0718,02 57 56.4,+13 00 59,7.0,7.0,0
888,ACO  2390,0.23022,21 53 37.4,+17 41 46,2.0,2.0,0
892,ACO  2626,0.055,23 36 31.0,+21 09 36,19.666666,19.666666,0
899,ACO    98,0.1038,00 46 29.2,+20 28 06,11.666667,11.666667,0
910,ClG J0030+2618,0.497,00 30 33.6,+26 18 16,5.8333335,5.8333335,0
911,BAX 006.9575+26.2739,0.3668,00 27 45.90,+26 16 25.0,0.147,0.147,0
913,ACO   115,0.193,00 55 59.5,+26 19 14,12.5,12.5,0
924,NAME NGC 383 Group,0.017,01 07 27.7,+32 23 59,15.833333,15.833333,0
925,NAME Stephan's Quintet,0.0215,22 35 57.5,+33 57 36,3.2,3.2,0
927,MLCG 1575,0.015,01 23 09.1,+33 27 11,2.9,2.9,0
929,HCG  10,0.0161,01 26 24.5,+34 42 51,10.63,10.63,0
931,ACO   262,0.016,01 52 50.4,+36 08 46,21.666666,21.666666,0
939,ClG 0906.5+1110,0.1767,09 09 12.7,+10 58 32,12.666667,12.666667,0
942,ACO   754,0.054,09 09 08.4,-09 39 58,16.0,16.0,0
946,HCG  37,0.0223,09 13 35.6,+30 00 51,3.2,3.2,0
947,ACO   781,0.293,09 20 25.4,+30 30 07,9.37,9.37,0
959,NSC J092521+362758,0.11,09 25 39.0,+36 27 05,8.75,8.75,0
961,SDSSCGB 11742,0.31,09 24 01.30,+37 44 21.3,0.48,0.48,0
973,SDSSCGA 35,0.078,09 24 08.94,+13 12 54.5,0.78,0.78,0
976,SDSSCGA 90,0.1364,09 25 46.75,+07 42 56.4,0.68,0.68,0
978,SDSSCGA 1354,0.3174,09 25 47.67,-01 43 34.1,1.54,1.54,0
983,BAX 145.8779+16.6672,0.25,09 43 30.70,+16 40 02.0,2.88,2.88,0
984,BAX 145.9371+16.7467,0.17934,09 43 45.0,+16 44 13,5.0,5.0,0
987,RSCG 33,0.011,09 33 53.0,+10 05 08,19.19,19.19,0
1000,SDSSCGA 637,0.1402,09 52 40.84,+18 15 31.7,0.98,0.98,0
1005,SDSSCGB 405,0.09064,09 49 46.07,+05 46 01.7,0.28,0.28,0
1009,RXC J0953.6+0142,0.098,09 53 41.8,+01 41 58,7.0833335,7.0833335,0
1034,NAME NGC 3090 Group,0.02069,10 00 37.93,-02 57 45.3,26.0,4.68,0
1035,ACO   907,0.166,09 58 21.84,-11 03 47.5,10.833333,10.833333,0
1036,HCG  42,0.0133,10 00 13.1,-19 38 24,18.18,18.18,0
1039,ACO   963,0.2041,10 17 03.4,+39 02 56,12.916667,12.916667,0
1041,SDSSCGA 2029,0.1577,10 14 17.86,+34 25 29.5,2.12,2.12,0
1044,[AWK2020] 378,0.11205785,10 13 46.91,+19 45 21.0,1.02,1.02,0
1053,RX J1017.7-0002,0.064,10 17 46.57,-00 03 44.7,9.166667,9.166667,0
1058,BAX 155.5304+38.5153,0.05429697,10 22 18.24,+38 32 39.6,12.333333,12.333333,0
1066,SDSSCGA 2145,0.09408,10 27 40.73,+14 27 47.2,2.34,2.34,0
1071,ZwCl 1021+0426,0.2894,10 23 39.0,+04 11 14,1.0,1.0,0
1078,ACO  1035,0.07739437,10 32 05.91,+40 17 25.9,12.916667,12.916667,0
1080,ACO  1056,0.12467,10 38 01.8,+41 46 38,7.5,7.5,0
1097,HCG  48,0.0094,10 37 45.6,-27 04 50,5.0,5.0,0
1112,NSC J105211+103358,0.22,10 52 11.12,+10 33 58.4,4.5833335,4.5833335,0
1113,SDSSCGA 224,0.0696,10 47 24.3,+05 11 22,1.12,1.12,0
1125,NAME NGC 3411 Group,0.015,10 50 26.9,-12 50 26,16.0,16.0,0
1147,ACO  1139,0.0397569,10 58 01.63,+01 38 05.4,11.0,11.0,0
1150,ClG 1054-03,0.829,10 57 00.2,-03 37 27,5.0,5.0,0
1151,ClG J1054-1146,0.698,10 54 24.2,-11 46 18,2.9166667,2.9166667,0
1167,PCG J1109+2033,0.1393,11 09 41.21,+20 33 20.5,0.802,0.802,0
1171,ACO  1201,0.1671,11 12 54.4,+13 26 08,14.666667,14.666667,0
1196,HCG  51,0.0258,11 22 21.6,+24 19 41,4.07,4.07,0
1207,ClG J1117+1744,0.55,11 17 30.2,+17 44 44,3.52,3.52,0
1211,BAX 169.3587+07.7264,0.48,11 17 26.1,+07 43 35,4.77,4.77,0
1213,SDSSCGA 1779,0.0467,11 19 29.45,+04 19 32.6,2.62,2.62,0
1247,ACO  1300,0.306,11 32 00.7,-19 53 34,4.8,4.8,0
1265,HCG  58,0.0207,11 42 09.4,+10 16 30,8.82,8.82,0
1271,SDSSCGB 112,0.306,11 42 12.6,+00 37 58,0.16,0.16,0
1294,ACO  1413,0.1412,11 55 12.87,+23 23 46.9,14.583333,14.583333,0
1295,MCS J1149.5+2223,0.545,11 49 35.8,+22 23 55,7.9166665,7.9166665,0
1318,NAME NGC 4104 Group,0.02817,12 06 19.75,+28 07 08.3,16.666666,16.666666,0
1319,[DT2000] NGC 4104 10,0.457,12 07 47.2,+28 13 11,3.19,3.19,0
1340,SDSSCGA 54,0.164,12 00 44.7,-00 09 33,0.62,0.62,0
1346,ClG 1208+39,0.33955,12 11 16.0,+39 11 41,5.4166665,5.4166665,0
1359,PCG J1213+0727,0.13706,12 13 47.14,+07 27 10.0,1.432,1.432,0
1361,ZwCl 1215+0400,0.0772,12 17 43.62,+03 38 51.5,18.333334,18.333334,0
1370,ClG J1216-1201,0.794,12 16 45.10,-12 01 17.3,4.5833335,4.5833335,0
1404,BAX 190.3879+32.8397,0.39619,12 41 33.1,+32 50 23,6.41,6.41,0
1411,ACO  1589,0.0709,12 41 08.09,+18 33 18.5,19.583334,19.583334,0
1416,M  60,0.00339,12 43 39.9680,+11 33 09.696,7.94,6.61,0
1418,ZwCl 1231+1007,0.23208,12 34 21.9,+09 47 02,4.0,4.0,0
1424,NGC  4636,0.00307,12 42 49.8333,+02 41 15.951,7.76,5.89,0
1428,SDSSCGA 2123,0.232,12 38 38.2,-00 51 49,1.62,1.62,0
1442,2XMM J125602.2+255636,0.232,12 56 04.9,+25 56 52,6.99,6.99,0
1454,ACO  1612,0.18177,12 47 43.2,-02 47 32,4.3,4.3,0
1459,ClG J1252-2927,1.24,12 52 54.4,-29 27 17,2.9166667,2.9166667,0
1460,ACO  3526,0.011,12 48 51.8,-41 18 21,16.666666,16.666666,0
1468,ACO  1656,0.0234,12 59 44.40,+27 54 44.9,30.0,30.0,0
1469,ZwCl 1303+2647,0.30812,13 05 58.0,+26 30 53,0.233,0.117,0
1476,ACO  1650,0.0843,12 58 42.0,-01 45 45,17.666666,17.666666,0
1477,ACO  1663,0.0837,13 02 52.55,-02 31 04.0,14.583333,14.583333,0
1486,ZwCl 1305+2941,0.24,13 07 49.25,+29 25 48.3,7.33,7.33,0
1488,MCXC J1311.7+2201,0.17153,13 11 46.20,+22 01 37.3,7.9166665,7.9166665,0
1493,ACO  1689,0.1842,13 11 29.5,-01 20 28,4.0,4.0,0
1496,BAX 199.3086-25.5133,0.247,13 14 25.4,-25 15 44,0.187,0.116,0
1509,ClG 1322+3028,0.69,13 24 20.700,+30 12 40.30,2.42,2.42,0
1512,ClG 1322+3027,0.753,13 24 48.2,+30 11 34,2.9166667,2.9166667,0
1519,NAME NGC 5171 Group,0.024268,13 29 05.10,+11 45 04.8,16.666666,16.666666,0
1524,ZwCl 1316-0044,0.08321,13 19 16.58,-00 55 01.2,4.8333335,4.8333335,0
1529,ACO  3558,0.048,13 27 54.8,-31 29 32,20.416666,20.416666,0
1535,ACO  1763,0.2312,13 35 20.1,+41 00 04,11.16,11.16,0
1538,BAX 203.6444+37.9509,0.308,13 34 35.00,+37 56 50.0,3.3333333,3.3333333,0
1551,WARPS J1331.5+1108,0.081,13 31 30.2,+11 08 04,5.0,5.0,0
