,MAIN_ID,Z_VALUE,RA,DEC,GALDIM_MAJAXIS,GALDIM_MINAXIS,SCRIPT_NUMBER_ID
3,K79  4,0.0177,01 16 13.81,+46 44 22.8,1.6,1.6,0
5,NGC   996,0.015409,02 38 39.8834,+41 38 50.971,0.723,0.694,0
7,NGC  1129,0.017639,02 54 27.400,+41 34 46.70,1.527,1.221,0
9,NAME Sausage Cluster,0.1921,22 42 53.0,+53 01 05,9.0,9.0,0
10,ACO   426,0.0179,03 19 47.2,+41 30 47,12.0,12.0,0
11,ACO  2319,0.0559,19 20 45.3,+43 57 43,16.0,16.0,0
19,ClG 1821+6827,0.817,18 21 33,+68 27.9,5.0,5.0,0
38,ACO  2256,0.0583,17 03 09.4,+78 39 36,12.0,12.0,0
51,ClG J0647+7015,0.584,06 47 50.0,+70 14 55,8.333333,8.333333,0
58,1RXS J171438.2+623212,0.18,17 14 37.900,+62 33 22.20,2.5,2.5,0
60,ACO  2255,0.0801,17 12 50.04,+64 03 10.6,10.0,10.0,0
61,ACO  2246,0.235,17 00 41.94,+64 13 16.9,7.9166665,7.9166665,0
64,ZwCl 0735+7421,0.216,07 41 40.3,+74 14 58,13.0,13.0,0
66,ACO  2218,0.1709,16 35 54.0,+66 13 00,2.0,2.0,0
73,HCG  78,0.0326,15 48.5,+68 12,3.5,3.5,0
75,ClG J0947+7623,0.354,09 47 12.9,+76 23 13,1.0,1.0,0
77,ACO   576,0.039,07 21 24.1,+55 44 20,21.0,21.0,0
91,ACO   665,0.1816,08 30 45.2,+65 52 55,10.0,10.0,0
92,PLCKESZ G157.43+30.33,0.407,07 48 45.6,+59 41 41,12.333333,12.333333,0
93,BAX 115.2425+55.4275,0.034,07 40 59.4,+55 25 55,18.0,18.0,0
95,ACO  2219,0.2257,16 40 22.1,+46 42 20,8.0,8.0,0
123,SDSSCGA 2251,0.13893,14 26 46.81,+64 59 33.1,2.1,2.1,0
125,ACO  1674,0.22124,13 03 56.5,+67 31 04,6.6666665,6.6666665,0
130,BAX 149.4717+65.5750,0.53,09 57 53.2,+65 34 30,3.3333333,3.3333333,0
132,SDSSCGA 553,0.1875,09 28 35.07,+63 47 32.0,1.3,1.3,0
136,SDSSCGA 918,0.0437,08 20 26.6,+56 45 27,2.26,2.26,0
147,ACO  1995,0.317,14 52 55.0,+58 02 59,3.0,3.0,0
162,ACO  1302,0.1152,11 33 12.02,+66 22 26.9,12.916667,12.916667,0
163,ZwCl 1120+6728,0.05522652,11 22 16.49,+67 14 17.8,8.0,8.0,0
175,ClG 1603+4313,0.897,16 04 23.7,+43 04 52,2.5,2.5,0
203,ClG J0910+5422,1.103,09 10 44.9,+54 22 09,2.0833333,2.0833333,0
239,ACO   746,0.214,09 09 34.7638,+51 32 56.134,4.0,4.0,0
240,SDSSCGB 63265,0.44,09 03 46.4,+50 24 59,0.56,0.56,0
261,ACO  1351,0.322,11 42 24.7795,+58 32 05.558,3.0,3.0,0
268,MCXC J1053.3+5720,0.34,10 53 18.97,+57 20 44.7,3.6666667,3.6666667,0
269,ClG J1053+5735,1.134,10 53 43.4,+57 35 21,4.1666665,4.1666665,0
275,MCXC J1011.3+5333,0.3896,10 11 19.3,+53 34 30,4.1666665,4.1666665,0
282,ACO   773,0.2173,09 17 51.3,+51 43 20,6.0,6.0,0
286,SDSSCGA 46,0.1465,08 28 06.7,+44 45 48,0.76,0.76,0
294,ACO  1907,0.07131,14 21 39.91,+49 30 38.4,0.87,0.776,0
304,ClG J1159+5531,0.08,11 59 53.02,+55 32 22.8,5.8333335,5.8333335,0
315,BAX 163.4480+54.8499,0.072,10 53 50.83,+54 49 55.1,7.5,7.5,0
320,SDSSCGA 857,0.2,10 23 00.04,+52 01 00.8,1.4,1.4,0
340,HCG  35,0.0542,08 45 20.71,+44 32 23.1,2.2,2.2,0
341,MCXC J0844.9+4258,0.05465451,08 44 44.12,+43 01 07.6,8.333333,8.333333,0
343,ClG J0848+4456,0.57,08 48 46.9,+44 56 22,3.01,3.01,0
344,ClG J0849+4452,1.2642,08 48 58.8,+44 51 53,2.0833333,2.0833333,0
348,ZwCl 1459+4240,0.292,15 01 23.0,+42 20 47,0.14,0.14,0
356,ACO  1758,0.28,13 32 32.1,+50 30 37,6.0,6.0,0
357,MCXC J1332.7+5032,0.2761,13 32 44.8,+50 32 24,9.73,9.73,0
358,NAME ACO 1758S,0.273,13 32 32.8,+50 24 48,7.4,7.4,0
375,BAX 153.4100+49.5519,0.133,10 13 36.9,+49 33 05,7.0833335,7.0833335,0
381,ACO   851,0.409,09 43 01.2,+46 59 54,7.0833335,7.0833335,0
408,ACO  1314,0.03282856,11 34 53.0,+49 05 18,16.666666,16.666666,0
422,ClG 0910.4+4109,0.443,09 13 46.0,+40 56 20,9.666667,9.666667,0
424,MCXC J0856.1+3756,0.412,08 56 13.7,+37 56 08,7.5,7.5,0
448,ClG J0956+4107,0.59,09 56 03.4,+41 07 14,3.17,3.17,0
452,PSZ1 G183.92+42.99,0.561,09 10 51.0,+38 50 22,7.5,7.5,0
458,ACO   412,0.10916,03 06 17.6,-00 08 28,9.2588,9.2588,0
465,HCG  25,0.0211,03 20 43.7,-01 03 07,4.55,4.55,0
479,BAX 055.3242+15.3961,0.029,03 41 16.9,+15 24 27,19.666666,19.666666,0
480,ZwCl 0335+0956,0.035,03 38 35.3,+09 57 54,3.5,3.5,0
484,ACO  3151,0.068,03 40 27.2,-28 40 20,12.083333,12.083333,0
493,ACO S  373,0.005,03 38 29.4,-35 27 08,11.666667,11.666667,0
512,ACO   478,0.088,04 13 20.7,+10 28 35,3.0,3.0,0
515,BAX 064.9080+02.4099,0.013,04 19 38.2,+02 25 12,20.416666,20.416666,0
516,ClG J0429-0253,0.399,04 29 36.0,-02 53 09,7.8333335,7.8333335,0
517,ClG 0422-09,0.039,04 25 51.02,-08 33 38.5,18.666666,18.666666,0
533,ACO   496,0.033,04 33 38.8,-13 15 59,22.5,22.5,0
536,ACO   500,0.067,04 38 55.0,-22 05 55,16.666666,16.666666,0
561,ACO   520,0.203,04 54 10.1,+02 55 38,5.5,5.5,0
564,ClG 0451-03,0.54,04 54 10.9,-03 01 07,7.1666665,7.1666665,0
565,ACO   521,0.247,04 54 08.6,-10 14 39,5.0,5.0,0
566,CAN  28,0.031,04 54 52.318,-18 06 56.52,20.0,20.0,0
589,ClG J0522-3624,0.47,05 22 13.8,-36 24 49,5.0,5.0,0
592,ACO   545,0.154,05 32 24.4152,-11 32 35.080,5.6,5.6,0
601,ACO  3365,0.093,05 48 12,-21 56.1,5.5,5.5,0
603,ACO  3364,0.148,05 47 38.1,-31 52 15,16.666666,16.666666,0
604,ACO S  540,0.037,05 40 06.2,-40 50 29,20.416666,20.416666,0
608,ACO   550,0.099,05 52 51.3,-21 03 27,14.166667,14.166667,0
615,ClG J0603.3+4214,0.228,06 03.3,+42 14,9.0,9.0,0
621,ACO  3378,0.141,06 05 53.7,-35 18 06,13.333333,13.333333,0
622,ACO  3376,0.046,06 01 25.000,-39 59 51.00,16.0,16.0,0
643,ClG J0717+3745,0.549,07 17 36.50,+37 45 23.0,4.0,4.0,0
648,ACO   586,0.1702,07 32 20.3,+31 37 58,16.333334,16.333334,0
650,ClG J0744+3927,0.698,07 44 52.5,+39 27 30,7.5,7.5,0
651,ZwCl 0743+3110,0.058067105,07 46 45.37,+31 00 11.6,15.0,15.0,0
654,ZwCl 0748+1744,0.188,07 51 23.8,+17 31 15,8.75,8.75,0
657,ACO   611,0.28726,08 00 58.7,+36 02 49,7.0833335,7.0833335,0
660,ACO   602,0.060878935,07 53 23.51,+29 20 20.3,1.84,1.84,0
672,BAX 126.5267+26.4297,0.358,08 26 09.6,+26 24 54,3.0,3.0,0
674,NAME NGC 2563 Group,0.015646925,08 20 39.46,+21 04 45.6,17.916666,17.916666,0
682,ACO   653,0.087,08 21 50.6,+01 11 49,15.0,15.0,0
696,ACO   697,0.2812,08 42 57.6,+36 21 45,2.5,2.5,0
698,XCLASS 686,0.4643,08 47 01.8,+34 51 17,2.0833333,2.0833333,0
712,SDSSCGA 355,0.0711,08 40 04.29,+25 00 28.9,1.78,1.78,0
727,ACT-CL J0852.2-0101,0.4587,08 52 16.6,-01 01 35,8.244,8.244,0
732,ACO S 1101,0.056,23 13 58.5,-42 43 39,19.166666,19.166666,0
744,ACO  3856,0.142,22 18 45.2,-38 53 57,14.666667,14.666667,0
745,ACO  3888,0.155,22 34 23.0,-37 43 29,15.333333,15.333333,0
778,ESO 404-12,0.008899,21 57 07.2152,-34 34 55.880,1.063,0.957,0
781,ACO  3854,0.148,22 17 45.72,-35 43 31.4,12.083333,12.083333,0
789,ACO  4010,0.096,23 31 10.3,-36 30 26,14.666667,14.666667,0
806,ACO S  301,0.023,02 49 33.72,-31 11 23.2,17.5,17.5,0
810,ESO 466-4,0.018912,21 44 23.569,-29 54 26.26,0.207,0.128,0
812,ACO  3814,0.12,21 49 07.24,-30 42 06.4,15.0,15.0,0
815,HCG  90,0.0088,22 02 06.3,-31 55 48,7.4,7.4,0
820,ACO  4059,0.04908791,23 57 02.2,-34 45 58,14.583333,14.583333,0
821,ACO  2721,0.114,00 06 02.1,-34 43 32,12.916667,12.916667,0
838,ACT-CL J2102.1-2431,0.19,21 02 10.1,-24 31 57,10.0,10.0,0
868,ClG J2229-2756,0.322,22 29 45.36,-27 55 36.5,8.333333,8.333333,0
878,ACO  4038,0.02999541,23 47 31.1,-28 12 10,20.0,20.0,0
886,ACO  2734,0.06142987,00 11 21.60,-28 51 16.6,20.0,20.0,0
887,ACO  2744,0.306,00 14 20.03,-30 23 17.8,7.0,7.0,0
890,ACO  2811,0.107605,00 42 08.82,-28 32 08.8,16.5,16.5,0
893,ESO 411-34,0.018824,00 57 46.9455,-27 30 06.078,0.833,0.75,0
899,ACO  2895,0.231,01 18 04.48,-27 00 13.4,0.24,0.149,0
920,ClG 2137-2353,0.315,21 40 12.8,-23 39 27,9.766666,9.766666,0
925,ESO 534-4,0.011509,22 37 03.003,-25 14 11.08,0.137,0.137,0
926,ClG J2235-2557,1.39,22 35 20.6,-25 57 42,1.6666666,1.6666666,0
936,ACO  2667,0.233,23 51 39.37,-26 05 02.7,12.166667,12.166667,0
940,ACO    22,0.143,00 20 41.4,-25 42 39,14.333333,14.333333,0
944,ACO   122,0.113,00 57 25.03,-26 16 47.9,12.5,12.5,0
957,ACO  2384,0.094,21 52 20.9,-19 32 53,14.333333,14.333333,0
960,ACO  2401,0.059,21 58 22.6,-20 06 13,11.0,11.0,0
963,NGC  7377,0.011201,22 47 47.4743,-22 18 43.770,1.737,1.32,0
979,ACO  2690,0.085,00 00 13.75,-25 11 11.5,12.916667,12.916667,0
986,ACO   133,0.057,01 02 41.5,-21 52 53,21.0,21.0,0
1025,ACO  2485,0.2472,22 48 33,-16 07.1,0.227,0.172,0
1034,ACO    13,0.095,00 13 38.5,-19 30 19,18.333334,18.333334,0
1041,ACO  2345,0.179,21 27 09.80,-12 09 58.8,15.666667,15.666667,0
1042,ACT-CL J2214.9-1359,0.503,22 14 57.3,-14 00 12,8.75,8.75,0
1052,ACO   209,0.209,01 31 52.9,-13 36 53,7.0,7.0,0
1053,ACO   222,0.213,01 37 31.1,-12 59 30,11.25,11.25,0
1057,ACO  2377,0.082,21 45 56.4,-10 06 33,15.0,15.0,0
1060,ACO  2426,0.103,22 14 27.3,-10 22 05,17.666666,17.666666,0
1061,ACO  2420,0.085,22 10 22.5,-12 11 13,16.666666,16.666666,0
1067,ACO   223,0.208,01 37 55.9,-12 49 11,8.75,8.75,0
1068,HCG  16,0.0132,02 09 40.82,-10 11 02.0,17.94,17.94,0
1070,ClG J2129-0741,0.587,21 29 26.0,-07 41 28,6.6666665,6.6666665,0
1071,ACO  2399,0.058,21 57 19.01,-07 50 57.5,12.083333,12.083333,0
1072,ACO  2428,0.084,22 16 07.01,-09 20 19.5,17.083334,17.083334,0
1074,ClG J2243-0935,0.43929,22 43 21.1,-09 35 43,11.0,11.0,0
1078,ACO  2645,0.2509,23 41 17.0,-09 01 11,0.21,0.118,0
1080,ACO  2670,0.0761,23 54 10.51,-10 23 06.8,20.0,20.0,0
1081,SDSSCGA 3,0.0782,23 54 13.5,-10 23 17,0.32,0.32,0
1083,ACO    85,0.0556,00 41 36.21,-09 19 30.4,21.666666,21.666666,0
1091,ACO   348,0.2701,02 23 59.20,-08 35 43.4,11.028,11.028,0
1100,BAX 339.9121-05.7217,0.24,22 39 38.8,-05 43 13,10.0,10.0,0
1103,ACO  2697,0.234,00 03 11.5,-06 05 30,12.083333,12.083333,0
1107,1RXS J022508.6-062310,0.2041,02 25 12.2,-06 22 59,10.668,10.668,0
1108,XLSSC 046,1.213,02 23 03.0,-04 36 22,2.5,2.5,0
1109,ACO   362,0.1852,02 31 42.20,-04 52 53.1,16.656,16.656,0
1110,XLSSC 017,0.38253,02 26 27.4,-04 59 55,4.2,4.2,0
1114,HCG  12,0.0485,01 27 33.7,-04 40 14,2.6,2.6,0
1116,ACO   329,0.1394,02 14 40.900,-04 33 21.90,13.333333,13.333333,0
1117,HSCS J022457-034853,0.61,02 24 57.1,-03 48 53,5.6,5.6,0
1118,ACT-CL J0221.7-0346,0.432,02 21 45.8,-03 46 08,7.2,7.2,0
1120,RzCS 768,0.33,02 27 22.39,-03 21 39.2,4.26,4.26,0
1121,HSCS J022828-042608,0.43,02 28 27.4,-04 25 48,4.7,4.7,0
1123,ACO   383,0.19,02 48 03.3915,-03 31 45.228,13.333333,13.333333,0
1129,ACO  2537,0.295,23 08 22.3,-02 11 29,9.47,9.47,0
1130,HCG  97,0.0215,23 47 24.0,-02 19 08,5.23,5.23,0
1133,ZwCl 0027-0036,0.06,00 29 27.73,-00 11 49.6,13.5862,13.5862,0
1142,ACO   119,0.0445,00 56 08.57,-01 12 00.8,24.166666,24.166666,0
1143,SDSSCGB 471,0.192,01 01 13.0,-00 34 36,0.26,0.26,0
1147,SDSSCGA 315,0.08071,01 14 27.8,-00 51 27,1.08,1.08,0
1150,SDSSCGB 45856,0.01603,01 34 00.4,-01 04 02,0.78,0.78,0
1154,ACO   291,0.196,02 01 42.9,-02 11 48,11.666667,11.666667,0
1159,XCLASS 440,0.834,01 52 39.590,-13 58 27.48,2.9166667,2.9166667,0
1161,SDSSCGA 122,0.173,02 10 54.1,-01 09 25,0.58,0.58,0
1162,SDSSCGA 207,0.141,02 14 11.7,-00 11 31,0.68,0.68,0
1169,ClG J2129+0005,0.2339,21 29 40.5,+00 05 47,1.0,1.0,0
1171,ACO  2355,0.23058,21 35 18.70,+01 25 27.0,12.5,12.5,0
1172,ClG J2137+0026,0.05092524,21 37 06.9,+00 26 48,7.0,7.0,0
1180,ACO  2631,0.2765,23 37 40.7,+00 16 35,7.73,7.73,0
1185,ACO  2700,0.095,00 03 49.7,+02 03 59,16.0,16.0,0
1189,HCG   7,0.0141,00 39 15.9,+00 53 17,5.58,5.58,0
1192,SDSS CE 011.007808+00.108698,0.2185,00 44 01.36,+00 06 47.6,5.9755,5.9755,0
